"","N","loadModule1","loadModule2","loadModule3","loadModuleOther","courseSeg","uniSeg","countrySeg","majorSeg","ageSeg"
"1",42,0.434343434343434,0.236363636363636,0.244444444444444,0.0828282828282828,0.695480471942796,0.544021190496293,0.20674535213688,0.938603813621203,-0.181461909374958
"2",32,0.0899182561307902,0.111716621253406,0.0354223433242507,0.741144414168937,4.81984987052685,6.31196828005733,2.46873073684381,-0.497434464315398,2.76899936556265
"3",64,0.305059523809524,0.400297619047619,0.196428571428571,0.0863095238095238,-0.639473728816332,-1.15843559245203,-0.974002826848409,-0.563980852024229,-0.388431322167731
"4",33,0.25,0.243975903614458,0.451807228915663,0.0512048192771084,4.98649603227999,4.35718107944521,2.36034465642272,1.42878962391021,-0.0870868654802435
"5",42,0.298245614035088,0.195488721804511,0.305764411027569,0.200501253132832,0.084928876299186,0.796344833184649,-0.0354914806912677,-0.301534047912626,-0.977784349807845
"6",63,0.651515151515151,0.148148148148148,0.107744107744108,0.0909090909090909,1.66519176455135,1.62964460881736,-0.542994368163778,0.878387806342069,-0.78666051716208
"7",65,0.388888888888889,0.336336336336336,0.0885885885885886,0.18018018018018,-0.866154146186177,-0.16492849121678,0.180610787918468,-0.0753870992886855,-0.304042943982789
"8",42,0.400826446280992,0.37603305785124,0.15495867768595,0.0475206611570248,1.93964762950724,2.71356845382724,2.50832965616959,-0.886839833328917,-0.0519937070621116
"9",54,0.378571428571429,0.421428571428571,0.101785714285714,0.0678571428571429,0.692897825673008,1.53949782462858,1.98422058340528,0.749085983448605,-0.943751978761085
"10",40,0.484560570071259,0.287410926365796,0.0570071258907363,0.168646080760095,0.794374962412649,1.22293885667937,0.0669973061518968,0.640691981251834,0.0135486477007625
"11",53,0.251356238698011,0.584086799276673,0.0904159132007233,0.0687160940325497,1.52106274784452,2.92564485070642,3.48073073172617,1.89443188428166,-0.308240040797744
"12",30,0.248603351955307,0.472067039106145,0.0949720670391061,0.153631284916201,5.62035052536185,7.00213002887751,3.42192210253953,-0.551523135224973,-1.51326490671871
"13",31,0.261029411764706,0.242647058823529,0.341911764705882,0.154411764705882,2.08093414700084,2.07980709123471,0.0453623860054254,0.739068278447771,-0.977493370961432
"14",46,0.2018779342723,0.460093896713615,0.258215962441315,0.0704225352112676,5.22032786839017,6.09793186491555,6.18763410620146,1.93331968879483,1.59589635923781
"15",61,0.339593114241002,0.403755868544601,0.223787167449139,0.0219092331768388,2.44950727697495,2.2225794732151,1.75578237417994,-0.465073302775575,0.016354679285076
"16",85,0.280095351609058,0.567342073897497,0.116805721096544,0.0297973778307509,2.99258053290207,2.98778075270956,3.52730342014512,-0.726921945796693,0.304294795173168
"17",30,0.175,0.278571428571429,0.314285714285714,0.225,1.92076964287858,2.80269891037272,3.43922222671935,0.453494733106943,-0.772834851149737
"18",38,0.49009900990099,0.274752475247525,0.113861386138614,0.116336633663366,1.69093166829379,2.15905951240031,1.12475839325332,-0.445414009543829,-0.130282870994783
"19",45,0.524945770065076,0.227765726681128,0.0780911062906725,0.145336225596529,1.51794765383403,2.34031230591009,3.2357590493803,-1.27137981950504,-1.11024820888382
"20",26,0.130801687763713,0.616033755274262,0.177215189873418,0.0759493670886076,-0.242793586263284,-0.145908900685127,-0.529762605336536,-1.17824108095611,-0.0651557915643647
"21",37,0.581081081081081,0.224324324324324,0.156756756756757,0.0135135135135135,2.27840022316439,2.93925144066568,3.3189093159399,3.65718661973233,0.978066596973207
"22",37,0.317507418397626,0.172106824925816,0.317507418397626,0.192878338278932,-0.180023598395432,-0.632484086719646,-0.700003345097499,-0.150392518632837,-2.20384613669312
"23",50,0.437894736842105,0.393684210526316,0.115789473684211,0.0505263157894737,-0.688312277781389,0.104698774708667,0.384321674569903,1.0193393482636,1.12810816554552
"24",60,0.561433447098976,0.213310580204778,0.184300341296928,0.0341296928327645,3.06601158286059,2.85164753203954,2.92999933446389,-1.08282405270928,0.119053646088005
"25",34,0.162251655629139,0.56953642384106,0.245033112582781,0.0231788079470199,3.11181403592549,1.86942132622024,2.77822155818457,2.15034274901833,1.96411575028612
"26",29,0.283068783068783,0.235449735449735,0.111111111111111,0.37037037037037,1.5919043364088,0.982331394741395,1.49400758958546,0.909161815092152,-1.29543432983187
"27",24,0.264462809917355,0.177685950413223,0.177685950413223,0.37603305785124,3.36331274218535,3.77840134406188,3.77857807116342,1.3091746535482,-0.291835507830741
"28",16,0.298611111111111,0.506944444444444,0.159722222222222,0.0347222222222222,-0.363312960911191,-0.0368181800446472,0.331071918698506,-0.772012001332856,1.66956165345847
"29",67,0.463722397476341,0.282334384858044,0.15615141955836,0.082018927444795,-0.471840543775799,-0.78577511050227,0.317961162548899,-1.0309436630726,0.926685712384593
"30",25,0.358744394618834,0.37219730941704,0.246636771300448,0.0179372197309417,1.12254045175407,0.269942531928377,-0.0911780292022971,-0.910360164560826,2.50230564900805
"31",32,0.0966542750929368,0.360594795539033,0.539033457249071,0.00371747211895911,6.00669822229045,4.77628718783492,2.89676384473036,3.59730100818947,-0.580288592290301
"32",23,0.292682926829268,0.297560975609756,0.360975609756098,0.0292682926829268,0.270057273534731,-0.0394927255819927,-0.166569115195752,0.519409507196854,-0.350046089881268
"33",12,0.357142857142857,0.0714285714285714,0.316326530612245,0.255102040816327,6.46437011916813,4.3744652023969,1.77142290611659,3.77600632234691,1.14634034479579
